PID,Generated Claim
49,The claim: First Secretary Pete was mia on the derailment then he lies to media claiming my 2021 letter calling for more track inspections was a letter calling for Deregulation
50,The claim: Clothing is certified net carbon neutral created from natural or recycled materials in fair trade factories printed using water-based inks and made to last
51,Nigeria has a terror-loving pantami as minister pampers boko haram terrorists and pays murderous herdsmen as if that is not enough. Look at the office of Nema Dg Taliban would be proud!
52,The claim: The monkey pox is only circulated in vaccinated countries
53,All these people walking around with air pods directing radiation and bluetooth signals directly into the brain unless you want a brain tumour.
54,The company making Ruhafza Hamdard
55,"The global recession is a planned and coordinated attack to get us to submit to digital IDs and digital currency, ie a Chinese style social credit system."
56,The claim: Women are much more likely than men to work parttime and parttime work is associated with little or no subsequent progression in hourly wages
57,Mark Finchem realmarkfinchem in Arizona it is flood the zone with fake ballots
58,The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim: The claim
59,The claim: President Vladimir Putin blaming press briefings and admitting its all part of his own plan.
60,The girl was involved in a hit and run in Coventry.
61,The claim: The vaccine is not monkeypox
62,Murkowski collins and Jimmy Carter are propedophiles
63,The claim: Polymerase chain reaction tests cannot detect free infectious viruses
64,Says “Happy Independence Day Let’s Have Honor Like These Men.”
65,“I don’t know if I’m going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be going to be
66,"People are dying due to lack of oxygen, our Health Minister is cutting ladyfinger."
67,The Covid-19 vaccines are being brought into force at a later date.
68,"The claim: voter fraud in California sends 44,000 ballots to ineligible voters"
69,“Wuhan the same lab out of China has brewed itself up a pot of monkeypox to work on a vaccine.”
70,Ukraine President Vladimir Putin and wife in their younger n happy days. Hmmm. How just in one mad moment your life can turn upside down.
71,“Joe Biden’s only court packing is going on right now it’s going on with Republican lawmakers packing the court now it’s not constitutional.”
72,The claim: pubs back open in London this morning
73,"The hall in Chicago where Swami Vijayakananda gave his historic speech, the entire 473 words spoken in this speech are lit up on the stairs of this hall every day. Swami Vijayakanandajayanti"
74,Biden has wire
75,Aaaaand this got me shut down on Twitter
76,The claim: The Ons will make up 18% of the population by 2016
77,The claim: The US has re-elected a new law that would allow people to overturn their power
78,The claim: The UK has declared independence in a august 2021 election
79,Says Rajalalitha Tamil Nadu Chief Minister with Nirmala Sidharaman
80,The World Health Organisation (WHO) is working from home.
81,The claim: iU researchers identify fabric that kills coronaviruses
82,The claim: The UK has the biggest hoax in human history
83,A mother feels up to 57 del of pain while giving birth.
84,"The claim: The number of mail-in ballots was dropped by around 3,000 people in the county"
85,“Do not drink Red Bull or Monster unless you like the idea of Bull Sperm.”
86,The claim: The Covid-19 vaccine is not safe
87,A number of ambulance stations have been sold off.
88,Says BBS CEO Joe Biden “has “no way to get rid of tax fraud.”
89,Biden and Harris held a joint campaign appearance in Arizona the first since the Democratic National Convention. No one showed up.
90,The claim: The Covid-19 vaccine is irregular and should not be interfered with hormonal pfetility
91,A social media post claims that grape juice prevents the infection from attaching to your digestive system.
92,The claim: A study from the University of Florida has found no asymptomatic or pre-symptomatic spread of Covid.
93,Good morning and happyganeshchaturthi to all my friends
94,A social media post claims that Vice President Joe Biden and his wife are a part of the BJP’s campaign.
95,Railway tracks laid by Nehru Ji 70 years ago still intact rail wheels launched by Modi 5 days ago crushed
96,China has been stealing our manufacturing costing Wisconsin almost 90000 jobs.
97,A Facebook post claims that 60% of daily crossings are albanian.
98,"The claim: 4255 ballots in Fulton County, Georgia, were multiple times of those duplicate ballots"
99,The claim: French retire 6 years earlier
100,The Supreme Court has observed that those who feed stray dogs could be held liable if the canines attack people. The apex court also said that such people should be made responsible for vaccination of stray dogs.
